Question,Answer
what does the air stream across this hole create?,"a bernoulli, or siphon"
how long do most foxes live?,"most foxes live 2 to 3 years, but they can survive for up to 10 years or even longer in captivity"
how long do most foxes live?,2 to 3 years
in what country did fox hunting originate?,the united kingdom
in what country did fox hunting originate?,in the united kingdom
what is the smallest species of fox?,the fennec fox is the smallest species of fox 
what is the smallest species of fox?,the fennec fox
what is caching food?,"caching is burying it for later consumption, usually under leaves, snow, or soil"
what is caching food?,burying it for later consumption
do foxes damage fruit on farms?,no
how many years ago did african people spread across 31 francophone african countries can speak french either as a first or second language?,2 years ago
"in old french, was the plural  for animal animals?",yes
is catalan the only  official  language  of andorra?,yes
"in belgium, however, is quatre-vingts universally used?",yes
is french taught in many schools as a primary language along with arabic?,yes
"what is widely used by the lebanese, especially for administrative purposes?",french
is french descendant of the latin language?,yes
are there also a variety of regional languages in addition?,yes
is it true that france signed the european charter for regional languages?,yes
are the prefixes en- and em- always nasalized ?,yes
how many years ago was the luther bible by martin luther printed?,475
is german an inflected  language?,yes
"in switzerland, is ß used at all?",no
are there two common  word  orders?,yes
are feminines declined in the singular?,no
is 9 %  of the internet  population german?,no
is german written using the latin  alphabet?,yes
was the luther bible by martin luther printed?,yes
does a  tz indicate that the preceding vowel is short?,no
"are there 622,650 speakers of german in canada?",yes
are there also large populations of german ancestry in mexico?,yes
would bundesländer not accept north rhine westphalia and bavaria ?,yes
"have adverbs of time to appear in the third place in the sentence , just after the predicate ?",yes
what areas can giraffes inhabit?,"savannas, grasslands, or open woodlands"
what areas can giraffes inhabit?,"inhabit savannas, grasslands, or open woodlands"
what will a giraffe use to clean off any bugs that appear on its face?,extremely long tongue 
what will a giraffe use to clean off any bugs that appear on its face?,its extremely long tongue
how do giraffes defend themselves?,with a powerful kick
how do giraffes defend themselves?,with powerful kicks
are male females generally taller than female giraffes?,yes
in what year did henri becquerel die?,1908
in what year did henri becquerel die?,"august 24, 1908"
where was henri becquerel born?, paris 
where was henri becquerel born?,paris
did henri becquerel intentionally discover radioactivity?,no
did henri becquerel intentionally discover radioactivity?,he discovered it accidentally
"if henri becquerel was alive today, how old would he have been?",157
for how many years did henri becquerel live?,56
did henri becquerel live to be 80 years old?,no
what was henri becquerel`s profession?,physisist
how old was henri becquerel when he died?,53
how many years ago was it when he became the third in his family to occupy the physics chair at the musum national d`histoire naturelle?,117
"in 1908, the year  of his death, was becquerel elected permanent secretary  of the académie  des  sciences?",yes
when was henri becquerel born?,"december 15, 1852"
did he become chief engineer in the department of bridges and highways?,yes
did he share the nobel prize in physics?,yes
is it true that becquerel wrapped a fluorescent substance in photographic plates?,yes
becquerel wrapped a fluorescent substance in what?,photographic plates and black material
is there a becquerel crater on the moon for radioactivity?,yes
must … one conclude from these experiments that the phosphorescent substance in question emits rays which pass through the opaque paper and reduces silver salts ?,yes
what is henri becquerel?,henri becquerel was a famous physicist
